Family,Subfamily,Tribe,Genus,Species,Rectilinear,Expanded,Nymph expanded,Link Observation,Link Observation 2,,
Coreidae,Coreinae,Nematopodini,Mozena,lineolata (lunata),1,0,0,https://www.inaturalist.org/observations/162561893,https://www.inaturalist.org/observations/119089311,,
Coreidae,Coreinae,Nematopodini,Mozena,lurida,1,0,0,https://www.inaturalist.org/observations/10109737,https://www.inaturalist.org/observations/138281431,,
Coreidae,Coreinae,Nematopodini,Nematopus,lepidus,1,0,NA,https://www.inaturalist.org/observations/33992449,,,
Coreidae,Coreinae,Nematopodini,Ouranion,serrulatus,1,0,0,https://www.inaturalist.org/observations/207756780,https://www.inaturalist.org/observations/101669438,,
,,Nematopodini,Pachylis,,0,1,0,https://www.inaturalist.org/observations/208584844,https://www.inaturalist.org/taxa/428814-Pachylis,,
,,,Pachylis,laticornis,0,1,0,https://www.inaturalist.org/observations/202434903,https://www.inaturalist.org/observations/101372158,,
Coreidae,Coreinae,Nematopodini,Piezogaster,calcarator,1,0,0,https://www.inaturalist.org/observations/213406732,https://www.inaturalist.org/observations/196162375,,
Coreidae,Coreinae,Nematopodini,Thasus,neocalifornicus,0,1,0,https://www.inaturalist.org/observations/183126591,https://www.inaturalist.org/observations/195405114,,
Coreidae,Coreinae,Nematopodini,Thasus,sp.,0,1,0,https://www.inaturalist.org/observations/204431341 ,https://www.inaturalist.org/observations/68357637 ,,
Coreidae,Coreinae,Petascelini,Petascelis,remipes,1,0,0,https://www.inaturalist.org/observations/197707768,https://www.inaturalist.org/observations/203979991,,
Coreidae,Coreinae,Phyllomorphini,Pephricus,paradoxus,1,0,NA,https://www.inaturalist.org/observations/10356228,https://www.inaturalist.org/observations/116135630,,
Coreidae,Coreinae,Phyllomorphini,Tongorma,latreillii,1,0,NA,https://www.inaturalist.org/observations/9516286,,,
Coreidae,Coreinae,Placoscelini,Plaxiscelis,limbata,1,0,NA,https://www.inaturalist.org/observations/70875548,https://www.inaturalist.org/observations/160183511,,
Coreidae,Coreinae,Placoscelini,Stenoeurilla,aenescens,1,0,NA,https://www.inaturalist.org/observations/16092790,https://www.inaturalist.org/observations/93948792,,
Coreidae,Coreinae,Placoscelini,Stenoeurilla,mesoamericana,1,0,NA,https://www.inaturalist.org/observations/199127843,,,
Coreidae,Coreinae,Prionotylini,Prionotylus,brevicornis,1,0,NA,https://www.inaturalist.org/observations/165216846,https://www.inaturalist.org/observations/225155752,,
Coreidae,Coreinae,Spartocerini,Sephina,geniculata,1,0,NA,https://www.inaturalist.org/observations/34169896,,,
Coreidae,Coreinae,Spartocerini,Sephina,subulata,1,0,0,https://www.inaturalist.org/observations/67027066,https://www.inaturalist.org/observations/41141285,,
,,,Sephina,pustulata,1,0,0,https://www.inaturalist.org/observations/104234854,https://www.inaturalist.org/observations/124572578,,
Coreidae,Coreinae,Spartocerini,Spartocera,batatas,1,0,0,https://www.inaturalist.org/observations/68650365,https://www.inaturalist.org/observations/152352131,,
Coreidae,Coreinae,Spartocerini,Spartocera,fusca,1,0,0,https://www.inaturalist.org/observations/166350394,https://www.inaturalist.org/observations/166880566,,
Coreidae,Hydarinae,,Hydara,tenuicornis,1,0,NA,https://www.inaturalist.org/observations/112939188,,,
Coreidae,Hydarinae,,Hydarella,chiangdaoensis,1,0,NA,https://www.inaturalist.org/observations/189853101,,,
Coreidae,Hydarinae,,Hydaropsis,longirostris,1,0,NA,http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1187099&ImageID=179281,,,
Coreidae,Hydarinae,,Madura,fuscoclavata,1,0,NA,https://www.inaturalist.org/observations/196369636,https://www.inaturalist.org/observations/215538495,,
Coreidae,Hydarinae,,Maduranoides,chemsaki,1,0,NA,https://www.inaturalist.org/observations/115415959,,,
Coreidae,Meropachyinae,Merocorini,Merocoris,curtatus,1,0,0,https://www.inaturalist.org/observations/177422602,https://www.inaturalist.org/observations/46805670,,
Coreidae,Meropachyinae,Merocorini,Merocoris,elevatus,1,0,NA,https://www.inaturalist.org/observations/153493317,,,
Coreidae,Meropachyinae,Merocorini,Merocoris,typhaeus,1,0,NA,https://www.inaturalist.org/observations/117222424,,,
Coreidae,Meropachyinae,Spathophorini,Lycambes,sargi,1,0,NA,https://www.inaturalist.org/observations/144444175,,,
Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,elongata,1,0,NA,http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1186770&ImageID=179100,https://www.inaturalist.org/observations/194579240,,
Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,minor,NA,NA,NA,,,,
Coreidae,Pseudophloeinae,Clavigrallini,Clavigralla,pusilla,1,0,NA,http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1186796&ImageID=179529,,,
